TechName,*TechDescription,Comm-IN,Comm-OUT,INPUT,INPUT~2050,EFF,EFF~2020,EFF~2030,EFF~2040,EFF~2050,EFF~2060,EFF~0,INVCOST~2018,INVCOST~2035,INVCOST~2050,INVCOST~0,FIXOM,FIXOM~2035,FIXOM~2050,FIXOM~0,VAROM,VAROM~2035,VAROM~2050,VAROM~0,AFA,LIFE~2018,LIFE~2030,LIFE~2050,LIFE~0,ENV_ACT~TOTCO2,NCAP_DRATE,CAP2ACT
SUP_ELC-PEMC-H2,H2 production from PEM electrolysis - centralised,ELC,H2C,,,0.7,,,,0.8,,5,2041.626,1368,1178,,4.142,,,,1.46666666666667,,,,0.8,10,10,15,5,,,31.536
,,ELC-HV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_ELC-PEMD-H2,H2 production from PEM electrolysis - decentralised,ELCD,H2D,,,0.7,,,,0.8,,5,2041.626,1915.2,1649.2,,4.142,,,,1.46666666666667,,,,0.8,10,10,15,5,,,31.536
\I:SUP_ELC-SOECC-H2,H2 production from SOEC electrolysis - centralised,ELC,H2C,,,0.9,,,,0.95,,5,4416.626,2896.626,2421.626,,4.142,4.142,4.142,,1.46666666666667,1.46666666666667,1.46666666666667,,0.8,3.33333333333333,7,10.5,5,,,31.536
\I:,,ELC-HV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\I:SUP_ELC-SOECD-H2,H2 production from SOEC electrolysis - decentralised,ELCD,H2D,,,0.9,,,,0.95,,5,4416.626,4055.2764,3390.2764,,4.142,4.142,4.142,,1.46666666666667,1.46666666666667,1.46666666666667,,0.8,3.33333333333333,7,10.5,5,,,31.536
SUP_H2NGA,H2 methanisation to natural gas (CO2 from DAC),H2R,NGA,1,1,0.7,0.7375,0.775,0.8125,0.85,0.85,3,2234.88943150685,1534.62407630137,1191.94103013699,,111.744471575342,59.5970515068493,44.697788630137,,0,0,0,,0.85,20,20,20,5,-53.96,0.025,31.536
,,DAC_CO2,,37.772,45.866,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_H2NGA_CCS,H2 methanisation to natural gas (CO2 from CCS),H2R,NGA,,,0.7,0.7375,0.775,0.8125,0.85,0.85,3,2234.88943150685,1534.62407630137,1191.94103013699,,111.744471575342,59.5970515068493,44.697788630137,,0,0,0,,0.85,20,20,20,5,,0.025,31.536
\I:SUP_SMRH2,H2 production from natural gas (steam methane reforming with CCS),NGA,H2C,1,1,0.738007380073801,,,,,,,7153.653643,7153.653643,7153.653643,,48.222,,,,,,,,,25,25,25,5,14.62316,0.025,31.536
MIN_DAC_CO2,Direct air capture costs,,DAC_CO2,,,,,,,,,,,,,,,,,,345.68,,,,,,,,,,,
