UC_N,TimeSlice,Pset_Set,Pset_PN,Pset_CO,Cset_CN,Attribute,Year,LimType,UC_CAP~NI,UC_CAP~SI,UC_FLO,UC_RHSTS,UC_RHSTS~0,UC_Desc
WEM,,,ELCREHYDRRInflex00,ELC,,,2020,Lo,0.498299465240642,0.504365591397849,,0,5,NZ Winter energy margin
,,,ELCREHYDDAM00,ELC,,,2020,,0.46048815348957,0.481135714285714,,,,
,,,ELCREHYDRRFlex00,ELC,,,2020,,0.499129032258065,0.297912529550827,,,,
,,,ELCTE*CHP00,ELC,,,2020,,0.705045685279188,,,,,
,,,ELCTECOA00,ELC,,,2020,,0.93,,,,,
,,,"ELCTE*NGA*00,-*CHP*",ELC,,,2020,,0.943,,,,,
,,,ELCTEDSL00,ELC,,,2020,,0.044,,,,,
,,,ELCRE*Wind*00,ELC,,,2020,,0.375445815943977,0.340191489361702,,,,
,,,ELCREGEO00,ELC,,,2020,,0.930122373680435,,,,,
,,,ELCREBIG00,ELC,,,2020,,0.705045685279188,,,,,
,,,EHYD-DAM-New20,ELC,,,2020,,0.46048815348957,0.481135714285714,,,,
,,,EHCO_SCPC20,ELC,,,2020,,0.93,0.93,,,,
,,,EHCO_CCS30,ELC,,,2020,,0.93,0.93,,,,
,,,EHCOL_SCPC20,ELC,,,2020,,0.93,0.93,,,,
,,,EHCOL_CCS30,ELC,,,2020,,0.93,0.93,,,,
,,,ENGA_GTCC20,ELC,,,2020,,0.943,0.943,,,,
,,,ENGA_GTCCF20,ELC,,,2020,,0.943,0.943,,,,
,,,ENGA_CCS30,ELC,,,2020,,0.943,0.943,,,,
,,,EWIN*HIGHCF*,ELC,,,2020,,0.4,0.4,,,,
,,,EWIND*LOWCF*,ELC,,,2020,,0.35,0.35,,,,
,,,"EWIND*DIST*,EWIND*CON*",ELC,,,2020,,0.35,0.35,,,,
,,,EWI*OFF*,ELC,,,2020,,0.52,0.52,,,,
,,,EGEO*,ELC,,,2020,,0.930122373680435,0.930122373680435,,,,
,,,ETIDE20,ELC,,,2020,,0.5,0.5,,,,
,,,ESOL*,ELC,,,2020,,0.2,0.2,,,,
,,,EBIG20,ELC,,,2020,,0.705045685279188,0.705045685279188,,,,
,,,EOIL20,ELC,,,2020,,0.044,0.044,,,,
,,,EWOD20,ELC,,,2020,,0.705045685279188,0.705045685279188,,,,
,,,EBIL20,ELC,,,2020,,0.705045685279188,0.705045685279188,,,,
,,,ENUC_LWR20,ELC,,,2020,,0.85,0.85,,,,
,,,ENUC_EPR30,ELC,,,2020,,0.85,0.85,,,,
,,,ENUC_FBR50,ELC,,,2020,,0.85,0.85,,,,
,,,EWSTINC20,ELC,,,2020,,0.705045685279188,0.705045685279188,,,,
,,,EHY*RR*,ELC,,,2020,,0.498299465240642,0.504365591397849,,,,
,"FAL-,WIN-",,G_ELC_LV-00,,ELCDD,,2020,,,,-0.0737688237688238,,,
