CommName,Demand~2018
ADCF-MoTP-Stat,0.604
ADCF-IRG,0.147
ADCF-WH,1.233
ADCF-MoTP-Mob-Trac,0.213
ADCF-MoTP-Mob-MTr,0.068
ADCF-MoTP-Mob-Uti,0.063
ADCF-MoTP-Mob-Bike,0.039
ADCF-PUMP,0.531
ADCF-RFGR,2.004
ADCF-LIG,0.007
ALIVE-IRG,0.044
ALIVE-MoTP-Mob-Trac,0.089
ALIVE-MoTP-Mob-MTr,0.005
ALIVE-MoTP-Mob-Uti,0.01
ALIVE-MoTP-Mob-Bike,0.016
ALIVE-LIG,0.025
AHORT-IRG,0.116
AHORT-MoTP-Mob-Trac,0.107
AHORT-MoTP-Mob-MTr,0.006
AHORT-MoTP-Mob-Uti,0.012
AHORT-MoTP-Stat,0.056
AHORT-LIG,0.001
AINDC-SH,2.274
AINDC-LIG,0.001
AFORE-MoTP-Stat,0.152
AFORE-MoTP-Mob-GB,0.065
AFORE-MoTP-Mob-CY,0.065
AFORE-LIG,0.005
AFISH-BOAT,0.155
AFISH-RFGR,0.074
AFISH-LIG,0
AOTH-ELC,0.011
AOTH-NGA,0
AOTH-FOL,0.015
AOTH-LPG,0.055
AOTH-PET,0.006
